,total_num,average_revenue,rating,voting_total
Oliver Stone,14.0,854448615.0,6.594040259946108,6309.0
Matt Reeves,4.0,852554205.0,6.960188216039279,7332.0
Christopher McQuarrie,3.0,851296135.0,6.709553938627016,6322.0
John Woo,7.0,846706084.0,6.20916860916861,5148.0
Edward Zwick,7.0,841457883.0,7.071336669049321,6995.0
George Miller,8.0,828308721.0,6.875846238180074,14594.0
Ivan Reitman,8.0,815379808.0,5.857007186858316,3896.0
Alejandro González Iñárritu,6.0,812979871.0,7.300634295713036,13716.0
Chris Williams,2.0,812085437.0,7.46708941027267,7885.0
Raman Hui,1.0,798958165.0,6.0,2278.0
Hayao Miyazaki,4.0,790990376.0,8.169771167048054,8740.0
Tim Miller,1.0,783112979.0,7.4,10995.0
Vicky Jenson,3.0,783089482.0,6.850936460703658,5713.0
James Gunn,4.0,782091755.0,7.55743117641852,11297.0
John McTiernan,10.0,781400300.0,7.068017249124068,11131.0
James Mangold,8.0,780947930.0,6.556473037272006,10088.0
Barry Levinson,13.0,779252230.0,6.885452716297786,4970.0
Chris Wedge,3.0,778380764.0,6.743321185232134,6311.0
McG,6.0,777752254.0,5.79071741898967,7067.0
Brad Peyton,3.0,774667356.0,5.918168569346611,4117.0
Jonathan Liebesman,5.0,769666756.0,5.6406712734452125,6078.0
Robert Stromberg,1.0,758539785.0,7.0,4496.0
John Glen,5.0,757093674.0,6.1143370607028755,2504.0
Jon Turteltaub,7.0,754738869.0,6.2378268125347685,5393.0
Paul Greengrass,6.0,753266568.0,7.263058899398108,9304.0
Phillip Noyce,9.0,752771881.0,6.317601194426013,6028.0
Byron Howard,2.0,751774930.0,7.021062992125985,5080.0
Genndy Tartakovsky,3.0,751602561.0,6.771320293398532,4090.0
David Slade,3.0,750069529.0,6.067391881135579,3769.0
Paul W.S. Anderson,10.0,745861740.0,5.822948438634714,11016.0
Dan Scanlon,1.0,743559607.0,7.0,3528.0
Gary Ross,3.0,739583087.0,6.883008218635508,10099.0
Joel Coen,12.0,734466382.0,7.135276273022754,13845.0
Jerry Zucker,4.0,728052508.0,6.726526835286861,3242.0
Seth MacFarlane,3.0,716390903.0,6.186381548446917,8628.0
John Musker,3.0,712674099.0,7.210639814649795,5611.0
Ron Clements,3.0,712674099.0,7.210639814649795,5611.0
Phyllida Lloyd,2.0,711798336.0,6.344903293256665,1913.0
Simon West,8.0,711139200.0,5.970369535826949,8876.0
Tim Johnson,4.0,710314437.0,6.41552985603021,4237.0
Darren Aronofsky,6.0,702501349.0,7.0370316259883126,11636.0
Tim Story,7.0,696906475.0,5.793038650437754,4683.0
Peter Weir,4.0,692296421.0,7.776269775187344,8407.0
Michael Apted,6.0,687882717.0,6.209124209124209,3003.0
Brenda Chapman,2.0,687596395.0,6.714968853059729,5458.0
Guillermo del Toro,5.0,681578214.0,6.793213877239801,13115.0
Irvin Kershner,2.0,680400000.0,8.06951906064018,6217.0
Olivier Megaton,3.0,677878584.0,6.157014357377616,5781.0
Robert Rodriguez,17.0,672979581.0,6.336461621371932,12989.0
Mark Osborne,2.0,665315810.0,7.035657523711868,3901.0
Chuck Russell,6.0,658005371.0,6.125306957708049,4398.0
Sydney Pollack,5.0,655501065.0,6.59951690821256,1656.0
Kevin Reynolds,5.0,653481814.0,6.355406413124533,2682.0
Francis Ford Coppola,12.0,645944365.0,7.963947420569391,15139.0
Don Hall,2.0,636565443.0,7.759643359924918,6393.0
John Stevenson,1.0,631744560.0,6.9,3145.0
Andy Tennant,6.0,625659657.0,6.09315137730604,3957.0
Wes Ball,2.0,625576787.0,6.783141124717631,8411.0
Tim Hill,5.0,624605977.0,5.423080591320935,2097.0
Jan Pinkava,1.0,623722818.0,7.5,4369.0
Paul Weitz,8.0,620617287.0,6.012362472494499,4999.0
Adam McKay,6.0,617576455.0,6.6535620052770446,7959.0
Kirk De Micco,2.0,611979273.0,6.736589271417134,2498.0
Danny Boyle,8.0,605592547.0,7.158160578026876,14809.0
