,total_num,average_revenue,rating,voting_total,month
1,382.0,23.763630458115184,6.241965286425899,128480.0,1
2,326.0,53.82338395398773,6.575645977914535,183288.0,2
3,372.0,72.49385485483872,6.611507722130416,251744.0,3
4,350.0,70.08374228,6.642146751716202,218069.0,4
5,363.0,157.2790016033058,6.794199572728181,353405.0,5
6,389.0,178.63469240102827,6.664777955275591,396249.0,6
7,363.0,122.10619083471074,6.808616289456278,344812.0,7
8,413.0,64.58869225181598,6.502324749812866,209743.0,8
9,588.0,40.189553387755105,6.8808582202584265,287199.0,9
10,474.0,56.14854097257384,6.947307462176253,280776.0,10
11,326.0,151.48714838650307,6.936096086650298,292486.0,11
12,456.0,159.6924729473684,7.00491614841162,368866.0,12
